script_version_id,cell_index,cell_type,source_bytes,source_sha256,checked,ast_parse,method_tags,optimization_signals,notes
346969653,0,markdown,296,6fbe3c4f29ec63da7b9b8c030325dc16777a56ccb77452347a7577443440c5ef,true,NOT_APPLICABLE,lineage|score_claim,conflicting_lineage_claims,Author narrative read as AUTHOR_CLAIM; not platform provenance
346969653,1,markdown,3593,376f423e69760fabcc8f829a0e3b2ddc0fcd03ce1d3320893fc7d80ec6ba3f2b,true,NOT_APPLICABLE,dual_seed|transformer|ILP|safe_division,stale_experiment_narrative|parent_radius|divergence,Markdown describes several arms but conflicts with active configuration; claims are not measured results for this version
346969653,2,code,4380,d9207bf4a2fad8b113e497af12ae2042f169bf1206c972e3d2c5cc2831a5a3e9,true,PASS,configuration|thresholds|graph_postprocess,safe_div_parent_7|sister_14|diverge_2_25|detector_0_965,Active environment assignments reviewed
346969653,3,code,1399,99e830901eddca96d861cbf3f9ed210954e627a6d44c4668fd8b227fa5cba900,true,PASS,configuration_guard|fail_fast,guard_coverage_gap|stale_print_0_200,Guard covers only a subset and prints 0.200 although active bidirectional weight is 0.15
346969653,4,code,14117,6c5a6e880b6879cd6b26cc9e2394ce5492a797a863fead740e0aa25c5d22d643,true,PASS,setup|artifact_loading|integrity_receipt,dependency_and_weight_receipts,Actual cell hash freshly computed; no training call
346969653,5,code,27274,681232942fbb971dc1b999816b32c6d91da819e55d123b359b601169dd5982fb,true,PASS,offline_dependencies|source_materialization,dynamic_patch_complexity,Runtime source patching increases audit burden; subprocesses only materialize dependencies
346969653,6,code,35835,2c60405c2ad411a4eaebe59defaef6a79185c3119874905edee685c264335d8b,true,PASS,dual_gpu_inference|dual_seed|bidirectional|retention_guard,secondary_blend_0_80|retention_0_90|fusion_weight_0_15,Detection and association patch logic fully inspected
346969653,7,code,71299,a5da2a79ceb6383c66b543dd98280c83ccd3815f4becd26a4ab873ad74d82c8a,true,PASS,Hungarian|KDTree|motion_relink|ILP|gap|safe_division|DeepCenter|short_track|linefit,division_recall|fragmentation|gap_distance|motion_bonus,Main graph repair implementation fully inspected
346969653,8,code,7409,239f51c30606f090e1fbc939a541891cef2dbea45d7b1c4a6fef53352e94759d,true,PASS,output_integrity|retention_audit|submission_schema,receipt_configuration_conflicts,Generated output audit inspected; no submission file retained
346969653,9,code,8730,0083b9cd0b94cabba7c28f12bf8d80f6eda4a982d1f6f44ead0975ea0de89e92,true,PASS,heldout_validator|sample_selection|inference,only_four_samples|division_enriched_selection,Validator uses two samples per embryo prefix and deliberately selects division-containing samples
346969653,10,code,16964,b5d95f2743bc317426eb4bab90da3855450a8a30902a5575e5378afefd8bca2a,true,PASS,metric_proxy|edge_jaccard|division_jaccard|error_decomposition,estimated_node_count|div_fn_4|fragmented_56|lost_45,Proxy implementation and diagnostics inspected; proxy is not the public score
346969653,11,code,2528,974767da6156ddf12c5b2d1351b13658f160d0b859a36deb9614441c006537ba,true,PASS,resolved_pipeline_manifest|runtime_assertions,canonical_receipt_needed,Resolved runtime state is stronger than comments but still omits several active parameters
